book_name,book_description,book_author,category_name,book_image,book_cost,book_dislikes
Frontier of Mars,"In a future shaped by first contact, Frontier of Mars follows a small crew navigating Mars while questioning what remains of humanity.",Betty Kobayashi,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Frontier%20of%20Mars&font=roboto,374,0
Last Horizon,"In a future shaped by a collapsing empire, Last Horizon follows a small crew navigating Mars while questioning what remains of humanity.",Daniel Marlow,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Last%20Horizon&font=roboto,433,0
Ascension of the Last Station,"In a future shaped by first contact, Ascension of the Last Station follows a small crew navigating the Last Station while questioning what remains of humanity.",Susan Foster,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Ascension%20of%20the%20Last%20Station&font=roboto,248,0
The Voyager of a Dying Sun,"In a future shaped by a rogue AI, The Voyager of a Dying Sun follows a small crew navigating a Dying Sun while questioning what remains of humanity.",Jennifer Osei,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Voyager%20of%20a%20Dying%20Sun&font=roboto,276,0
Silent Reactor,"In a future shaped by interstellar conflict, Silent Reactor follows a small crew navigating a Dying Sun while questioning what remains of humanity.",Edward Andersen,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Silent%20Reactor&font=roboto,870,0
The Distant Drift,"In a future shaped by interstellar conflict, The Distant Drift follows a small crew navigating the Void while questioning what remains of humanity.",Donna Foster,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Distant%20Drift&font=roboto,252,0
Crimson Protocol,"In a future shaped by a collapsing empire, Crimson Protocol follows a small crew navigating the Last Station while questioning what remains of humanity.",Daniel Blackwood,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Crimson%20Protocol&font=roboto,363,0
The Code of the Outer Rim,"In a future shaped by interstellar conflict, The Code of the Outer Rim follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Nancy Kobayashi,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Code%20of%20the%20Outer%20Rim&font=roboto,316,0
Hollow Horizon,"In a future shaped by unchecked technology, Hollow Horizon follows a small crew navigating a Forgotten Moon while questioning what remains of humanity.",Donald Callahan,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Hollow%20Horizon&font=roboto,383,0
The Orbital Voyager,"In a future shaped by interstellar conflict, The Orbital Voyager follows a small crew navigating Andromeda while questioning what remains of humanity.",Andrew Reed,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Orbital%20Voyager&font=roboto,729,0
The Drift of the Ninth Colony,"In a future shaped by interstellar conflict, The Drift of the Ninth Colony follows a small crew navigating the Ninth Colony while questioning what remains of humanity.",Priya Osei,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Drift%20of%20the%20Ninth%20Colony&font=roboto,420,0
Circuit of a Forgotten Moon,"In a future shaped by a rogue AI, Circuit of a Forgotten Moon follows a small crew navigating a Forgotten Moon while questioning what remains of humanity.",Freya Harrow,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Circuit%20of%20a%20Forgotten%20Moon&font=roboto,587,0
Frozen Machine,"In a future shaped by unchecked technology, Frozen Machine follows a small crew navigating Europa while questioning what remains of humanity.",Lucas Iyer,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Frozen%20Machine&font=roboto,197,0
The Quantum Drift,"In a future shaped by unchecked technology, The Quantum Drift follows a small crew navigating Europa while questioning what remains of humanity.",Ananya Rossi,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Quantum%20Drift&font=roboto,543,0
Last Protocol,"In a future shaped by unchecked technology, Last Protocol follows a small crew navigating a Forgotten Moon while questioning what remains of humanity.",Paul Petrov,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Last%20Protocol&font=roboto,845,0
The Rogue Code,"In a future shaped by unchecked technology, The Rogue Code follows a small crew navigating a Forgotten Moon while questioning what remains of humanity.",Andrew Merrick,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Rogue%20Code&font=roboto,449,0
Quantum Protocol,"In a future shaped by interstellar conflict, Quantum Protocol follows a small crew navigating Mars while questioning what remains of humanity.",Kimberly Kapoor,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Quantum%20Protocol&font=roboto,668,0
The Dying Drift,"In a future shaped by interstellar conflict, The Dying Drift follows a small crew navigating a Dying Sun while questioning what remains of humanity.",Sofia Rossi,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Dying%20Drift&font=roboto,305,0
The Colony of a Forgotten Moon,"In a future shaped by a rogue AI, The Colony of a Forgotten Moon follows a small crew navigating a Forgotten Moon while questioning what remains of humanity.",Noah Carter,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Colony%20of%20a%20Forgotten%20Moon&font=roboto,480,0
Distant Signal,"In a future shaped by unchecked technology, Distant Signal follows a small crew navigating the Last Station while questioning what remains of humanity.",Michelle Sutton,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Distant%20Signal&font=roboto,395,0
